"","GraphNames","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"11","aves-sparrowlyon-flock-season3","27","163","1","27","4","18","12.0740740740741","4","2.73199266147308","0.301629706773695","0.0244579570895084","0.198050359441454","3","0.0739054641523744","0.691068814055637","0.0726755968282157","13.7597769215946","0.382141937641369","0.227920227920228","2.51851851851852","2","1.60683760683761","59.0262476104653","6","52.4444444444444","30.0388637157489","95","1416","0.0652394386974247"
"12","aves-thornbill-farine","62","1151","1","62","8","55","37.1290322580645","8","7.60134363038065","0.616435485202629","0.0120208675672197","0.0507196929954008","2","0.0200149106703715","0.757585580912863","0.0242879821517219","41.1726257765347","0.29002142524211","0.292966684294024","2","2","1.39132734003173","190.840149657459","25","565.403225806452","293.302476873693","972","35055","-0.0520114426259846"
"13","aves-weaver-social-00","15","25","1","15","1","5","3.33333333333333","1","0.124576941487013","0.0454186988717854","0.0249236396887128","0.5048","7","0.41287284144427","0.652173913043478","0.24274368135028","4.11957169981696","0.684383252505982","0.119047619047619","5.53333333333333","4","2.99047619047619","22.8411772306794","0","3","2.53546276418555","6","45","0.229691876750701"
"14","aves-weaver-social-01","7","12","1","7","3","6","3.42857142857143","3","1","0.333333333333333","0.119047619047619","0.21875","2","0.6","0.727272727272727","0.274291885177432","3.64575131106459","0.470849737787082","0.428571428571429","1.85714285714286","1","1.42857142857143","11.2915026221292","3","3.42857142857143","1.13389341902768","6","24","-0.333333333333333"
"15","aves-weaver-social-02","5","10","1","5","4","4","4","4","5","1.25","0.25","0","1","0","1","0.25","4","0","0","1","1","1","8","6","6","0","6","30","NaN"
"16","aves-weaver-social-03","42","152","1","42","2","27","7.23809523809524","2","0.229745360896888","0.0561822199650303","0.0104661262778379","0.417200484764543","6","0.40116002379536","0.595847750865052","0.0905634539262335","11.0419816895955","0.731336774669715","0.481997677119628","4.57142857142857","3","2.44483159117305","81.4784873001464","1","20.5","21.2146405958186","95","861","-0.00477508121616423"
"17","aves-weaver-social-04","10","19","1","10","2","5","3.8","1","0.295986931359393","0.0863103713720206","0.0572572206139981","0.397506925207756","4","0.478395061728395","0.775862068965517","0.234485716812712","4.26465208027454","0.495662845009538","0.133333333333333","3.3","2","2","15.7318066361038","1","4.5","2.12132034355964","7","45","0.122112211221121"
"18","aves-weaver-social-05","13","19","1","13","1","5","2.92307692307692","1","0.171206680670576","0.0712808834276273","0.0330000367971767","0.425207756232687","6","0.512626262626263","0.634615384615385","0.242980498258845","4.11555662765457","0.661978825806675","0.173076923076923","4.69230769230769","3","2.62820512820513","17.6299771697272","0","2.53846153846154","2.87562702192596","6","33","0.0904255319148935"
"19","aves-weaver-social-06","19","64","1","19","3","11","6.73684210526316","3","0.373563530215539","0.0621913350306716","0.0268157002750745","0.3670654296875","4","0.461147421931736","0.753731343283582","0.12868938526999","7.77064866618174","0.567779580960673","0.236842105263158","3.47368421052632","2","2.12865497076023","35.7452763628834","3","15.9473684210526","7.64833812167008","33","303","0.152607152607153"
"20","aves-weaver-social-07","5","8","1","5","2","4","3.2","2","2","0.852333177278436","0.213333333333333","0","2","0.125","0.789473684210526","0.300896284931535","3.32340427608648","0.225531907971174","0.2","1.6","1","1.2","7.36266128720996","1","3","1.22474487139159","4","15","-0.548387096774194"
