"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"45",45,0.1,"Spatial",1,1,350,1649,1,350,1,21,9.42285714285714,1,0.0541590200176081,0.00635248018096765,0.000374645170968144,0.788011625473806,19,0.124470588402086,0.614616096207216,0.0673618283583133,14.8452027560886,0.93236760007852,0.0331723291035612,14.7885714285714,10,7.89224723700368,738.09858748043,0,28.4742857142857,22.0345696467389,115,9966,0.665972973382796
"46",46,0.1,"Spatial",1,1,350,1650,1,350,1,19,9.42857142857143,1,0.0409807237310703,0.00433635041958125,0.000362286718541423,0.827005509641873,20,0.112022945976853,0.613364551034614,0.0693221352971371,14.4254067725075,0.941157005562471,0.027425296766271,15.2771428571429,11,8.10246418338109,740.892273093503,0,27.6942857142857,18.7786296093217,104,9693,0.536968278525207
"47",47,0.1,"Spatial",1,1,350,1698,1,350,2,20,9.70285714285714,1,0.0500416347181524,0.00531394919817477,0.000381784831103057,0.782418968619633,19,0.106402414723271,0.593254437869822,0.0704617390247086,14.1920993413082,0.931158964057414,0.0295047073270569,14.8285714285714,11,7.66302087597217,752.874769425514,0,28.6457142857143,19.5041740130054,95,10026,0.592426241257725
"48",48,0.1,"Spatial",1,1,350,1720,1,350,1,21,9.82857142857143,1,0.0571797184018196,0.00530528488751282,0.00038638214599408,0.809249594375338,18,0.104464795482837,0.615981292420008,0.0663704167508919,15.0669537567212,0.942473564963655,0.0320098239869014,14.0914285714286,10,7.59770773638968,750.540113789884,0,30.8571428571429,23.9184896375406,118,10800,0.579410707191712
"49",49,0.1,"Spatial",1,1,350,1592,1,350,1,20,9.09714285714286,1,0.0585596958381808,0.00638090828975894,0.000372832649283322,0.806822073621878,22,0.134620395930402,0.604029605263158,0.0686473236878568,14.5672102899023,0.941286159916018,0.0312402783462955,15.7685714285714,11,7.87399099467867,739.241662024898,0,25.1828571428571,18.6552417135044,109,8814,0.591143331267722
"50",50,0.1,"Spatial",1,1,350,1684,1,350,1,18,9.62285714285714,1,0.0739857732759253,0.00816041416811894,0.00037935354895525,0.79651276369463,20,0.0920147699753661,0.606706761436122,0.0703704843961235,14.2105032895736,0.917597530543846,0.0240032746623004,15.1885714285714,11,7.73756856324192,750.948696256402,0,28.5342857142857,19.6616864911799,93,9987,0.590451912547984
"51",51,0.1,"Spatial",1,1,350,1719,1,350,1,25,9.82285714285714,1,0.061642619753468,0.00688138996058447,0.00039304175716742,0.776078770582759,18,0.084084401013355,0.592614683873766,0.0575420941640204,17.3785819673083,0.926661754135325,0.0434875153499795,14.4542857142857,10,7.53738845681539,753.655892713168,0,31.2257142857143,28.8254885902785,167,10929,0.729101708566059
"52",52,0.1,"Spatial",1,1,350,1608,1,350,1,19,9.18857142857143,1,0.0581856328836706,0.00674893432262821,0.000390137295090032,0.779468252642261,18,0.120763203095138,0.594806763285024,0.0710540271146931,14.0737976523953,0.920816720869053,0.0281129758493655,14.22,10,7.54243143675808,742.507255084839,0,25.3285714285714,17.1580562652497,90,8865,0.624199008094139
"53",53,0.1,"Spatial",1,1,350,1633,1,350,1,20,9.33142857142857,1,0.038336024080518,0.00588949308301412,0.000386807910674871,0.780499525816471,19,0.165368878996866,0.601251817664538,0.0735038387865347,13.6047316236658,0.865652958884001,0.0305689725747032,14.5114285714286,10,7.679967253377,743.614923784947,0,27.1714285714286,19.7631907483345,109,9510,0.643639070929692
"54",54,0.1,"Spatial",1,1,350,1638,1,350,1,19,9.36,1,0.0616646940599184,0.00649792639416688,0.000377668146772211,0.790965038217786,19,0.0930043093878795,0.580176808414532,0.0718016730941631,13.9272520667947,0.939164167505777,0.027621776504298,14.5514285714286,10,7.77802701596398,751.784705202808,0,25.6885714285714,18.2914211251764,96,8991,0.574935459736039
