"","X","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"33",13,13,"LAT",1,1,144,9306,1,144,98,143,129.25,98,94.4101908217547,0.849615982268234,0.00641134175974693,0.0398773298000976,2,0.000333720403892984,0.919346148729546,0.0076795200970315,130.216470217527,0.0900248576230506,0.0961538461538462,1.91666666666667,1,1.09615384615385,413.216993503345,4410,7678.58333333333,1235.87507855374,9163,1105716,-0.0306815247017579
"34",14,14,"LAT",1,1,144,9636,1,144,107,143,133.833333333333,107,103.886892757159,0.883718896243821,0.00659386757771455,0.00975334039485594,2,0.000157913912486354,0.94474962828401,0.00743872342674546,134.431668262401,0.0603403643492878,0.0641025641025641,1.83333333333333,1,1.06410256410256,387.46697352408,5389,8436.66666666667,1060.33012407833,9493,1214880,-0.0357493959411739
"35",15,15,"LAT",1,1,144,9876,1,144,115,143,137.166666666667,115,112.270116157282,0.911736760231411,0.00673295137145612,0.00622973965876751,2,7.28166531183983e-05,0.964026343894624,0.00727207667217054,137.51230151724,0.0386457639631023,0.0407925407925408,1.72222222222222,1,1.04079254079254,363.561293485779,6353,9026.5,858.443623393787,9733,1299816,-0.0404623886178157
"36",16,16,"LAT",1,1,144,10044,1,144,122,143,139.5,122,119.63684823484,0.935032006469993,0.00683382267914155,0.00324579912899367,2,3.17041669043559e-05,0.977929394738202,0.00715916323794742,139.681128473152,0.0233723346961143,0.0244755244755245,1.58333333333333,1,1.02447552447552,342.21407385611,7255,9460,651.252907594545,9901,1362240,-0.042204193297298
"37",17,17,"LAT",1,1,144,10156,1,144,128,143,141.055555555556,128,126.028124496095,0.954374634005182,0.00690299630239301,0.000473535454239564,2,1.24967311793843e-05,0.987448710021921,0.00708522865867897,141.138705350753,0.01310770879752,0.0135975135975136,1.41666666666667,1,1.01359751359751,323.828190957973,8058,9759.83333333333,457.223392631251,10013,1405416,-0.0394968651891518
"38",18,18,"LAT",1,1,144,10226,1,144,133,143,142.027777777778,133,131.456557889358,0.97024798762812,0.00694729642516121,0,2,4.24553377916985e-06,0.993574989878599,0.00703928917747314,142.059798196693,0.00662113945990638,0.0067987567987568,1.27777777777778,1,1.00679875679876,308.755814387206,8743,9952.91666666667,291.501574321937,10083,1433220,-0.0336020295348389
"39",19,19,"LAT",1,1,144,10266,1,144,137,143,142.583333333333,137,135.925444542189,0.983003087736021,0.00697315507379174,0,2,1.15444626462639e-06,0.997184912451603,0.00701296832474716,142.592972574998,0.00286639031691819,0.00291375291375291,1.16666666666667,1,1.00291375291375,297.326420906027,9301,10066,163.189366169396,10123,1449504,-0.0265137813815504
"40",20,20,"LAT",1,1,144,10286,1,144,140,143,142.861111111111,140,139.438447187191,0.992890888974216,0.0069863176312948,0,2,2.17323861224354e-07,0.999043314026003,0.00699970923607581,142.863077061273,0.000964246047376419,0.000971250971250971,1.08333333333333,1,1.00097125097125,289.726154122545,9725,10123.6666666667,74.7789282611627,10143,1457808,-0.0195955072114623
"41",1,1,"LAT",1,1,100,180,1,100,2,4,3.6,2,0.0978869674096877,0.0285980083204871,0.00155162330858025,0.641975308641975,18,0.0699027286733076,0,0.260554279056601,3.83797189445799,0.516590305319305,0.00404040404040404,14,10,6.66666666666667,153.496600314833,0,0,0,0,0,0.5706106870229
"42",2,2,"LAT",1,1,100,502,1,100,5,12,10.04,5,0.650674534207399,0.0706041577677066,0.00287532475190232,0.538170029047158,9,0.0349638699152235,0.486963835155593,0.0913063177369675,10.9521446575118,0.489934003606976,0.0197979797979798,7.24,5,3.58585858585859,236.304674837114,7,23.16,7.45995369227645,30,2316,0.530851686708999
"43",3,3,"LAT",1,1,100,930,1,100,9,24,18.6,9,2.2582370784714,0.137034214020311,0.0040168800636754,0.454534628280726,6,0.0219108842841552,0.556579857109933,0.0488947238741084,20.4521044555799,0.458229840218692,0.0545454545454545,5,4,2.56,265.60104230147,28,96.6,34.7423416457541,138,9660,0.468054615911797
"44",4,4,"LAT",1,1,100,1430,1,100,14,40,28.6,14,5.55602817312792,0.226580777923868,0.0050087610081139,0.365135214435914,5,0.0177178846153622,0.611327198558012,0.0318952066408625,31.3526734991851,0.42583081333764,0.115151515151515,3.88,3,2.04888888888889,291.666841445756,75,257.76,100.855844719785,414,25776,0.360954777963891
"45",5,5,"LAT",1,1,100,1970,1,100,20,58,39.4,20,10.9500169952927,0.33318124612869,0.00588122403838559,0.276210801618181,4,0.0134904398501974,0.65060062286816,0.0234003953558266,42.7343207152696,0.391197424366028,0.187878787878788,3.2,2,1.74141414141414,301.29246053891,160,526.44,213.158276661008,922,52644,0.223189376106585
