"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"31",31,0.1,"ER",1,1,400,7971,1,400,25,55,39.855,25,22.9870632677445,0.711095422892852,0.00130846028863363,0.0982070071755692,3,0.00212332784980063,0.0995445611614165,0.0246058618174406,40.6407224188832,0.274957982525702,0.0379573934837093,2.97,2,1.91572681704261,2064.43586024933,31,78.63,23.7004721672877,153,31452,-0.020785574264189
"32",32,0.1,"ER",1,1,400,7983,1,400,23,59,39.915,23,21.5797920033396,0.713048763042669,0.00130798741972686,0.0954038872752413,3,0.00271903959472289,0.0987823425499958,0.0245166420931329,40.7886200810551,0.334444713899273,0.0478320802005013,2.975,2,1.91646616541353,2063.31870816844,21,78.4275,24.3818771546401,164,31371,-0.0148808722221903
"33",33,0.1,"ER",1,1,400,7989,1,400,22,60,39.945,22,20.7331942586067,0.712706040567124,0.00130821372083717,0.0984505607213925,3,0.00289904470015467,0.100753857162585,0.024457563768458,40.8871467929959,0.340661980968114,0.0502631578947368,2.96,2,1.91616541353383,2066.49832384472,26,80.2575,25.4115241110035,186,32103,-0.0169069147263546
"34",34,0.1,"ER",1,1,400,7984,1,400,23,58,39.92,23,21.3833206116027,0.714044548401123,0.00130817093385342,0.0994989101449392,3,0.00248281288766284,0.100970507867709,0.0244596994544334,40.8835767529738,0.325119429886487,0.04531328320802,2.9775,2,1.91624060150376,2062.05180961006,19,80.37,25.8857737610453,166,32148,-0.0179104204402745
"35",35,0.1,"ER",1,1,400,7899,1,400,23,58,39.495,23,21.5267057004659,0.711315288013749,0.00130616513445481,0.0981725208725727,3,0.00274772419973172,0.0987623738486731,0.0247745675997189,40.363973900854,0.320507802275453,0.0463784461152882,2.9825,2,1.91914786967419,2056.74189564955,22,76.7475,24.3776417500388,153,30699,-0.00507725022819358
"36",36,0.1,"ER",1,1,400,8017,1,400,23,57,40.085,23,21.6574914103715,0.711343406170291,0.00130818716234275,0.103393649166595,3,0.00230428559699808,0.101361389607841,0.0243516528032586,41.0649744425638,0.300041156600634,0.0423934837092732,2.955,2,1.91622807017544,2064.39358439008,24,81.36,26.7301637506271,178,32544,-0.00309250109456231
"37",37,0.1,"ER",1,1,400,8013,1,400,26,57,40.065,26,24.040725220718,0.701817672753577,0.00130866191525645,0.1069032508932,3,0.00243665931200191,0.100496790259407,0.0244478248483197,40.9034344038475,0.30100521826163,0.0424436090225564,2.97,2,1.91545112781955,2068.42697511071,26,80.31,24.5172723116584,168,32124,-0.00642878389493411
"38",38,0.1,"ER",1,1,400,8000,1,400,26,57,40,26,23.7788971054872,0.710206073157504,0.0013083918588309,0.0942912421875,3,0.00242690485219132,0.0995834638271218,0.0244303565964532,40.9326812751142,0.315716673171096,0.0426065162907268,2.975,2,1.91586466165414,2066.48887196375,22,79.4925,26.2815857230933,171,31797,-0.00101502623755244
"39",39,0.1,"ER",1,1,400,8069,1,400,25,61,40.345,25,23.0673941244446,0.709864575727491,0.00130994599136761,0.0993480278329978,3,0.00295733495051959,0.101948115938459,0.0242369813882592,41.2592634363459,0.337101645260089,0.0517669172932331,2.9725,2,1.91358395989975,2075.44799273503,25,82.7625,25.8068028129904,172,33105,-0.00471304270778613
"40",40,0.1,"ER",1,1,400,8084,1,400,21,63,40.42,21,19.8511248423876,0.709247969988276,0.00130946719619356,0.0988282270450228,3,0.00347377802980007,0.101268154315132,0.0242071911900861,41.3100384983757,0.358699649698625,0.0565914786967419,2.9775,2,1.91432330827068,2078.28587039847,26,82.47,25.046705244583,181,32988,-0.00400083553896122
"41",41,0.1,"ER",1,1,400,8137,1,400,21,61,40.685,21,19.9281943689987,0.710244811207563,0.00131091841281152,0.0966319315820059,3,0.00270797994064583,0.103948670012433,0.0240160187593939,41.6388748700844,0.351249193166387,0.0509147869674185,2.96,2,1.91219298245614,2086.67045192694,16,85.905,27.0325335415345,189,34362,-0.0074456956478252
"42",42,0.1,"ER",1,1,400,8046,1,400,25,59,40.23,25,23.0902322127514,0.71024657218217,0.00130926297545029,0.0914835087261421,3,0.00285911350177129,0.101223265236689,0.0242766289992061,41.1918804720665,0.325582603384223,0.0470426065162907,2.965,2,1.91462406015038,2073.20763961722,23,81.8175,26.6246384422484,175,32727,-0.0129956182724859
