"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"33",33,"sbm",1,1,50,691,1,50,12,37,27.64,12,9.75166467934089,0.482012416502798,0.0143606623963576,0.192573107621036,2,0.00825428699424444,0.731240506329114,0.0328297192846064,30.4602056243865,0.299046967999121,0.191020408163265,2,2,1.43591836734694,146.993380298259,28,288.84,164.738055526874,475,14442,0.388903113991228
"34",34,"sbm",1,1,50,108,1,50,1,9,4.32,1,0.202025100445557,0.0516089784489115,0.00663213306567192,0.450831618655693,7,0.218057100241607,0.156521739130435,0.17416674514496,5.74162420712229,0.742144576028981,0.0955102040816326,5.4,4,3.13795918367347,84.6880261347077,0,1.44,1.98113552266968,8,72,0.0504519309778135
"35",35,"sbm",1,1,50,37,0,32,0,6,1.48,0,-7.72750996601996e-16,-4.66674894789134e-16,-1,0.628560993425858,8,0.221261974177426,0.0410958904109589,0.327848300040958,3.05019120085439,0.835981393724813,0.0922448979591837,4.12,0,3.75551102204409,40.3469629203202,0,0.06,0.239897937482095,1,3,-0.136712749615976
"36",36,"sbm",1,1,50,176,1,50,2,14,7.04,2,1.48078270630944,0.38539714183713,0.00920458102769336,0.174764333677686,4,0.0574031737218848,0.05625,0.121125320529615,8.25591210514488,0.502165916272761,0.142040816326531,3.52,3,2.23836734693878,103.379590877141,0,1.44,1.83124804102424,6,72,-0.171597633136094
"37",37,"sbm",1,1,50,64,0,46,0,6,2.56,0,-3.49462264488346e-17,7.17413378128893e-17,-1,0.503173828125,9,0.174761547783205,0,0.275214538048062,3.63352898103575,0.695166976768833,0.0702040816326531,6.22,0,3.82512077294686,61.4774753395155,0,0,0,0,0,-0.197334700153767
"38",38,"sbm",1,1,50,233,0,30,0,20,9.32,0,-1.07629557065464e-16,-2.22044604925031e-16,-1,0.135276022767043,7,0.048469387755102,0.488647581441264,0.0669412644462067,14.9384689439739,0.578393090067557,0.217959183673469,2.98,0,1.86846846846847,100.090636764105,0,29.7,28.9350081022548,94,1485,0.585175905426202
"39",39,"sbm",1,1,50,302,1,50,4,21,12.08,4,3.63037041628209,0.530709805886081,0.0113586228792894,0.117450988991711,3,0.0298807809022007,0.296677826422869,0.072590008463465,13.7760005979791,0.4414720500543,0.182040816326531,2.66,2,1.80897959183673,134.49699653272,2,23.04,15.5759626426394,58,1152,-0.107508690378866
"40",40,"sbm",1,1,50,375,1,50,2,25,15,2,0.608659725952618,0.0677905288778956,0.0101190446089053,0.2712,4,0.0961629211494381,0.658346094946401,0.0487363608163696,20.5185611574042,0.519418615321696,0.204081632653061,3.48,3,2.05469387755102,126.555513081772,1,85.98,69.8363948154279,208,4299,0.737251130778993
"41",41,"sbm",1,1,50,233,1,50,3,20,9.32,3,2.49261287751862,0.488918012883245,0.0105636859837503,0.179925951850283,3,0.0584108584188777,0.234491315136476,0.0893051287056368,11.1975651845948,0.539745067774256,0.217959183673469,2.96,2,1.95020408163265,118.026745973852,0,11.34,10.0561890781503,41,567,-0.19045485777106
"42",42,"sbm",1,1,50,643,1,50,17,34,25.72,17,15.9183979909898,0.770418009572693,0.0138882405740418,0,2,0.00969374952080921,0.506464991461332,0.0379039066749438,26.3825048055283,0.245048442014092,0.168979591836735,2,2,1.47510204081633,165.465331810295,70,166.08,51.5161318106736,294,8304,-0.242602865729487
